,hospital,school,supermarket
2021-01-05 21:30:00,118.63,50.2,134.3
2021-01-05 21:45:00,92.665,52.935,95.4
2021-01-05 22:00:00,66.7,55.67,56.5
2021-01-05 22:15:00,65.72,57.09,86.7575
2021-01-05 22:30:00,64.74000000000001,58.510000000000005,117.015
2021-01-05 22:45:00,63.760000000000005,59.93,147.2725
2021-01-05 23:00:00,62.78,61.35,177.53
2021-01-05 23:15:00,58.985,61.5175,157.515
2021-01-05 23:30:00,55.19,61.685,137.5
2021-01-05 23:45:00,51.395,61.852500000000006,117.485
2021-01-06 00:00:00,47.6,62.02,97.47
2021-01-06 00:15:00,47.3575,62.0925,88.14
2021-01-06 00:30:00,47.115,62.165000000000006,78.81
2021-01-06 00:45:00,46.8725,62.237500000000004,69.47999999999999
2021-01-06 01:00:00,46.63,62.31,60.15
2021-01-06 01:15:00,45.945,62.225,65.53
2021-01-06 01:30:00,45.260000000000005,62.14,70.91
2021-01-06 01:45:00,44.575,62.055,76.28999999999999
2021-01-06 02:00:00,43.89,61.97,81.67
2021-01-06 02:15:00,43.2875,61.802499999999995,81.8475
2021-01-06 02:30:00,42.685,61.635,82.025
2021-01-06 02:45:00,42.082499999999996,61.4675,82.2025
2021-01-06 03:00:00,41.48,61.3,82.38
2021-01-06 03:15:00,72.1825,61.8375,90.85249999999999
2021-01-06 03:30:00,102.88499999999999,62.375,99.32499999999999
2021-01-06 03:45:00,133.5875,62.9125,107.7975
2021-01-06 04:00:00,164.29,63.45,116.27
2021-01-06 04:15:00,165.64499999999998,63.28,121.64
2021-01-06 04:30:00,167.0,63.11,127.00999999999999
2021-01-06 04:45:00,168.35500000000002,62.940000000000005,132.38
2021-01-06 05:00:00,169.71,62.77,137.75
2021-01-06 05:15:00,233.54,73.47,166.1275
2021-01-06 05:30:00,297.37,84.17,194.505
2021-01-06 05:45:00,361.2,94.87,222.8825
2021-01-06 06:00:00,425.03,105.57,251.26
2021-01-06 06:15:00,456.5825,152.12,244.475
2021-01-06 06:30:00,488.135,198.67,237.69
